Sn,Degree,Volt CH-1,Volt CH-2,Torque,Sync
579,27.4,2.164,1.08,0.19,2.004
580,27.2,2.153,1.074,0.189,2.005
581,27,2.144,1.07,0.183,2.004
582,26.8,2.135,1.065,0.185,2.005
583,26.6,2.126,1.061,0.183,2.004
584,26.4,2.116,1.056,0.183,2.004
585,26.2,2.108,1.052,0.185,2.004
586,26,2.097,1.046,0.183,2.005
587,25.8,2.089,1.042,0.187,2.005
588,25.6,2.08,1.038,0.184,2.004
589,25.4,2.07,1.033,0.18,2.004
590,25.2,2.061,1.029,0.178,2.003
591,25,2.052,1.024,0.181,2.004
592,24.8,2.044,1.02,0.175,2.004
593,24.6,2.033,1.015,0.177,2.003
594,24.4,2.025,1.01,0.18,2.005
595,24.2,2.015,1.005,0.177,2.005
596,24,2.007,1.001,0.177,2.005
597,23.8,1.998,0.997,0.175,2.004
598,23.6,1.987,0.992,0.174,2.003
599,23.4,1.978,0.988,0.167,2.002
600,23.2,1.967,0.983,0.173,2.001
601,23,1.958,0.979,0.172,2
602,22.8,1.947,0.973,0.17,2.001
603,22.6,1.938,0.969,0.172,2
604,22.4,1.927,0.963,0.171,2.001
605,22.2,1.918,0.959,0.173,2
606,22,1.909,0.954,0.174,2.001
607,21.8,1.898,0.949,0.171,2
608,21.6,1.89,0.945,0.168,2
609,21.4,1.88,0.94,0.169,2
610,21.2,1.872,0.935,0.167,2.002
611,21,1.861,0.93,0.169,2.001
612,20.8,1.854,0.926,0.167,2.002
613,20.6,1.843,0.921,0.167,2.001
614,20.4,1.835,0.916,0.171,2.003
615,20.2,1.826,0.912,0.168,2.002
616,20,1.816,0.907,0.169,2.002
617,19.8,1.808,0.903,0.164,2.002
618,19.6,1.8,0.898,0.165,2.004
619,19.4,1.791,0.894,0.164,2.003
620,19.2,1.781,0.889,0.164,2.003
621,19,1.774,0.885,0.164,2.005
622,18.8,1.764,0.88,0.165,2.005
623,18.6,1.756,0.877,0.166,2.002
624,18.4,1.748,0.872,0.165,2.005
625,18.2,1.738,0.867,0.161,2.005
626,18,1.731,0.864,0.157,2.003
627,17.8,1.721,0.859,0.158,2.003
628,17.6,1.712,0.855,0.156,2.002
629,17.4,1.702,0.85,0.159,2.002
630,17.2,1.695,0.846,0.158,2.004
631,17,1.684,0.841,0.158,2.002
632,16.8,1.677,0.837,0.16,2.004
633,16.6,1.667,0.833,0.156,2.001
634,16.4,1.657,0.828,0.159,2.001
635,16.2,1.649,0.824,0.152,2.001
636,16,1.64,0.819,0.155,2.002
637,15.8,1.632,0.815,0.156,2.002
638,15.6,1.622,0.81,0.156,2.002
639,15.4,1.614,0.806,0.154,2.002
640,15.2,1.604,0.801,0.153,2.002
641,15,1.595,0.797,0.157,2.001
642,14.8,1.587,0.792,0.151,2.004
643,14.6,1.577,0.787,0.153,2.004
644,14.4,1.569,0.783,0.149,2.004
645,14.2,1.559,0.779,0.148,2.001
646,14,1.551,0.775,0.146,2.001
647,13.8,1.541,0.77,0.146,2.001
